Age,Gender,Country,state,self_employed,family_history,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,treatment
38,Female,United States,TX,No,Yes,Sometimes,26to100,No,Yes,Yes,Yes,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No,1
28,Male,United Kingdom,NA,No,No,NA,26to100,No,Yes,NA,Not sure,No,No,NA,NA,No,Maybe,Some of them,Yes,Maybe,Yes,NA,No,0
34,Male,United States,TN,No,No,NA,6to26,No,Yes,No,No,No,No,NA,NA,No,No,Yes,Yes,Maybe,Yes,NA,No,0
26,Male,Canada,NA,Yes,No,Sometimes,1to5,No,Yes,No,Yes,Yes,No,NA,NA,No,No,Yes,Yes,No,No,Yes,No,0
30,Male,United States,IL,No,Yes,Rarely,26to100,No,Yes,Yes,No,No,NA,NA,NA,Maybe,No,Some of them,Yes,No,No,NA,No,1
22,Male,United States,TX,No,Yes,Often,6to26,No,Yes,No,Yes,No,No,Yes,Very difficult,Maybe,No,No,No,No,Maybe,NA,No,1
33,Male,United States,UT,No,No,NA,100to500,Yes,Yes,NA,Not sure,NA,NA,NA,NA,No,No,Some of them,Yes,Maybe,Maybe,NA,No,0
31,Male,United States,NA,No,No,NA,100to500,Yes,Yes,NA,No,NA,NA,NA,NA,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe,NA,No,0
32,Male,United States,TN,No,No,Never,1to5,Yes,Yes,NA,Not sure,No,No,NA,NA,Maybe,No,Some of them,Yes,No,No,NA,No,0
28,Male,Switzerland,NA,No,No,NA,100to500,No,Yes,No,No,No,No,NA,NA,No,No,No,No,No,Maybe,NA,No,0
27,None,United States,NY,No,Yes,Rarely,26to100,No,Yes,Yes,Yes,No,No,Yes,NA,Maybe,No,No,No,No,No,NA,No,1
32,Male,United States,TN,No,Yes,NA,6to26,Yes,Yes,NA,No,No,No,NA,Somewhat easy,No,No,Yes,Yes,No,No,Yes,No,0
24,Male,United States,NY,No,Yes,Sometimes,26to100,Yes,Yes,NA,No,No,No,NA,NA,No,Maybe,Some of them,Yes,Yes,Yes,No,No,1
26,Male,United States,TN,No,No,NA,26to100,No,No,No,No,No,No,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Yes,NA,No,0
33,Male,Canada,NA,No,Yes,Often,6to26,Yes,Yes,NA,No,No,No,No,Somewhat difficult,Yes,No,No,No,No,Maybe,NA,No,1
44,Male,United States,IA,No,Yes,Sometimes,MoreThan1000,No,No,Yes,No,No,NA,NA,NA,Yes,Maybe,Some of them,No,No,Maybe,NA,Yes,1
26,Female,Poland,NA,No,No,Sometimes,26to100,Yes,Yes,NA,Not sure,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Maybe,Yes,Yes,No,1
27,Male,United Kingdom,NA,No,No,Never,100to500,No,Yes,Yes,Not sure,No,Yes,NA,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,0
26,Male,France,NA,No,No,NA,26to100,No,Yes,No,No,No,No,NA,Very easy,Yes,No,No,No,No,No,No,Yes,0
35,Male,Canada,NA,No,No,Sometimes,6to26,No,Yes,NA,No,No,No,NA,Somewhat easy,No,No,Some of them,Yes,No,Maybe,NA,No,0
40,Male,United States,CA,No,Yes,Sometimes,MoreThan1000,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,Maybe,Some of them,No,No,No,No,Yes,0
23,Female,Australia,NA,No,Yes,Often,1to5,Yes,Yes,No,Not sure,No,No,NA,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,No,1
36,Male,United States,TX,No,No,Sometimes,100to500,Yes,Yes,Yes,No,NA,Yes,NA,NA,Maybe,No,Some of them,Some of them,Maybe,Yes,Yes,No,0
31,Female,United States,NM,No,No,NA,26to100,Yes,No,NA,No,NA,NA,NA,NA,Maybe,No,Some of them,No,No,Maybe,NA,No,0
34,Male,United States,NY,Yes,No,Rarely,1to5,Yes,Yes,No,No,No,No,NA,NA,Maybe,No,Some of them,No,No,No,NA,No,0
28,Male,France,NA,No,No,Never,26to100,No,Yes,No,No,No,No,NA,NA,Maybe,No,Some of them,Some of them,No,No,NA,No,0
34,Male,Canada,NA,No,No,Never,6to26,No,Yes,NA,Not sure,NA,NA,NA,Somewhat easy,No,No,Some of them,Yes,No,No,NA,No,0
23,None,United States,MA,No,No,Rarely,MoreThan1000,No,Yes,Yes,Yes,No,No,Yes,Somewhat difficult,Maybe,No,Yes,Yes,No,No,No,No,0
38,Male,United Kingdom,NA,No,No,NA,26to100,No,Yes,No,No,No,NA,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Yes,Yes,No,0
33,Male,United States,CA,No,No,Never,MoreThan1000,No,Yes,NA,Not sure,Yes,NA,NA,NA,Maybe,No,Some of them,Some of them,No,Maybe,Yes,No,0
19,Male,United Kingdom,NA,No,No,NA,1to5,No,Yes,No,Yes,No,No,No,Somewhat difficult,Yes,No,No,No,No,Maybe,No,No,0
25,Male,United States,WA,No,No,NA,MoreThan1000,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,No,No,Yes,Yes,Maybe,Yes,Yes,No,0
31,Male,United States,WA,Yes,Yes,Sometimes,1to5,Yes,Yes,No,No,No,No,Yes,Somewhat difficult,No,No,Yes,Yes,Maybe,Maybe,Yes,No,0
32,Male,United States,UT,No,Yes,Sometimes,26to100,Yes,Yes,No,No,No,No,NA,Somewhat difficult,Yes,No,Some of them,No,No,Yes,No,No,1
28,Male,Germany,NA,No,No,Never,6to26,Yes,Yes,NA,No,NA,NA,NA,Very easy,No,No,Some of them,Some of them,Maybe,Yes,Yes,No,0
38,Male,United States,NY,No,Yes,Sometimes,100to500,Yes,Yes,Yes,Yes,No,Yes,NA,NA,No,No,Yes,Some of them,Maybe,Maybe,Yes,No,0
23,Male,United Kingdom,NA,No,No,Never,26to100,No,Yes,Yes,Not sure,Yes,NA,NA,Very easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,0
30,Male,Canada,NA,No,No,Never,26to100,No,No,No,No,No,No,NA,NA,No,No,Some of them,Yes,No,No,No,No,0
27,None,United States,NY,Yes,No,Often,1to5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,Maybe,Some of them,Yes,No,Maybe,Yes,No,1
33,Male,United States,CA,No,Yes,Never,MoreThan1000,No,Yes,No,No,No,No,NA,NA,Yes,No,No,No,No,Maybe,No,No,0
31,Male,United States,TX,No,No,NA,26to100,No,Yes,NA,Not sure,No,No,NA,NA,No,No,Some of them,Yes,Maybe,Maybe,No,No,0
39,Male,United Kingdom,NA,Yes,No,Often,6to26,No,Yes,No,No,No,No,NA,Very difficult,Maybe,No,Some of them,No,No,Maybe,No,Yes,1
34,Female,United States,OR,No,Yes,Rarely,500to1000,Yes,Yes,Yes,Not sure,No,NA,NA,NA,Yes,Maybe,Some of them,Some of them,No,No,NA,No,1
29,Female,United States,FL,No,No,Sometimes,26to100,No,Yes,Yes,Yes,No,No,NA,NA,Maybe,No,Some of them,Some of them,No,Maybe,No,Yes,1
32,Male,United States,IL,No,No,NA,500to1000,No,Yes,NA,No,No,NA,NA,NA,No,No,Some of them,Some of them,No,No,NA,No,0
31,Male,United States,NY,No,No,Never,500to1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No,0
40,Male,United States,TX,No,No,Sometimes,26to100,No,Yes,No,Yes,No,No,Yes,Very difficult,No,No,Yes,Yes,Yes,Yes,No,No,1
34,Male,United States,OH,No,No,NA,26to100,No,Yes,NA,No,No,No,NA,Somewhat easy,Maybe,No,Some of them,No,No,Maybe,NA,No,0
18,None,Russia,NA,No,No,NA,26to100,Yes,Yes,Yes,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,Yes,NA,No,0
25,Female,Canada,NA,No,No,Sometimes,26to100,No,Yes,Yes,Yes,No,NA,NA,NA,Maybe,No,Some of them,Yes,No,Maybe,NA,No,1
29,Male,United States,MN,No,No,Never,26to100,No,Yes,NA,No,No,NA,NA,NA,No,No,Yes,Yes,Maybe,Maybe,No,No,0
24,Male,United States,MO,No,Yes,Rarely,26to100,No,Yes,NA,Not sure,No,NA,NA,Somewhat easy,Maybe,Maybe,Some of them,No,No,Maybe,NA,No,0
31,Male,Mexico,NA,No,Yes,Sometimes,6to26,No,Yes,NA,No,No,No,NA,NA,No,No,Some of them,Yes,Maybe,Yes,No,No,1
33,None,United States,AZ,No,No,Sometimes,6to26,No,Yes,No,Yes,No,No,NA,Somewhat easy,Maybe,No,Some of them,No,No,Maybe,No,No,1
30,Male,United States,IN,No,No,Often,1to5,No,Yes,No,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,1
26,Female,Canada,NA,No,Yes,Sometimes,26to100,No,No,No,Yes,No,No,No,Very difficult,Yes,No,No,No,No,Maybe,No,Yes,1
44,Female,United States,MA,No,No,Never,100to500,No,Yes,Yes,Not sure,NA,NA,NA,NA,Maybe,Maybe,No,Some of them,No,No,NA,No,0
25,Male,United States,NY,No,Yes,NA,26to100,No,Yes,NA,No,NA,NA,NA,Very easy,No,No,Some of them,Yes,No,No,NA,No,0
33,Male,United States,WI,No,Yes,Sometimes,26to100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,1
29,Male,United States,NY,No,No,Never,MoreThan1000,No,Yes,Yes,Not sure,Yes,NA,NA,Somewhat easy,No,No,Some of them,Yes,No,No,NA,No,0
35,Male,United States,MO,No,Yes,Rarely,6to26,No,Yes,Yes,Not sure,No,No,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,NA,No,0
35,Male,United States,OR,No,Yes,Sometimes,26to100,Yes,Yes,NA,Not sure,No,No,NA,Somewhat easy,No,No,Some of them,Yes,No,Maybe,No,No,1
28,Male,Brazil,NA,No,Yes,Rarely,6to26,No,Yes,No,No,No,No,No,NA,Maybe,No,Yes,Yes,No,No,NA,Yes,1
34,Male,United States,TN,No,Yes,Never,6to26,Yes,Yes,Yes,No,No,No,NA,NA,Maybe,No,No,No,No,No,NA,No,0
32,Male,United States,WA,No,No,Sometimes,26to100,No,Yes,Yes,No,Yes,Yes,Yes,Somewhat difficult,Maybe,No,Some of them,Yes,No,Maybe,Yes,No,1
22,Male,United States,NY,No,No,Sometimes,500to1000,No,Yes,Yes,Yes,No,NA,Yes,NA,Yes,No,No,No,No,Yes,No,No,1
28,Male,United States,CA,No,No,Sometimes,26to100,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Some of them,No,Maybe,Yes,No,1
45,Male,United States,MO,No,Yes,Rarely,6to26,Yes,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,Yes,Yes,No,1
32,Male,United States,NY,No,No,Never,100to500,No,Yes,Yes,Yes,No,NA,NA,NA,Maybe,No,Some of them,Some of them,No,No,NA,No,0
28,Male,United States,TX,No,No,NA,MoreThan1000,No,Yes,NA,No,No,NA,NA,NA,Maybe,No,Some of them,No,No,Maybe,NA,No,0
26,Male,United Kingdom,NA,No,No,Never,6to26,No,Yes,NA,No,No,NA,NA,Very easy,No,No,Some of them,Some of them,No,No,NA,Yes,0
21,Male,United Kingdom,NA,Yes,No,Often,1to5,Yes,No,No,Yes,No,No,Yes,Very difficult,Yes,No,Some of them,Yes,No,Maybe,No,No,0
27,Male,Canada,NA,No,No,Rarely,6to26,No,No,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,No,Some of them,Yes,No,No,NA,No,0
18,Male,United States,CT,No,No,Rarely,1to5,Yes,Yes,No,No,No,No,Yes,Very easy,No,No,Some of them,No,No,No,NA,No,1
35,Male,United States,CO,No,No,NA,26to100,Yes,Yes,NA,Not sure,No,NA,NA,NA,No,No,Some of them,Yes,Maybe,Maybe,NA,No,0
29,Male,United States,GA,No,No,Never,MoreThan1000,No,Yes,Yes,Yes,No,Yes,NA,NA,Yes,Yes,No,No,No,No,NA,No,0
25,Male,United States,DC,No,No,NA,26to100,Yes,Yes,NA,No,No,No,NA,Very easy,No,No,Some of them,Yes,No,No,NA,No,0
33,Male,United States,MN,No,Yes,Sometimes,6to26,Yes,Yes,NA,No,NA,NA,Yes,Very easy,No,No,Yes,Yes,No,Maybe,Yes,No,1
36,Male,United States,WA,No,No,Often,6to26,No,Yes,Yes,No,No,No,Yes,NA,Maybe,No,No,No,No,No,NA,No,0
27,Male,Canada,NA,No,No,Never,100to500,No,No,Yes,Not sure,No,No,NA,Very difficult,Maybe,No,Some of them,Yes,No,Maybe,No,Yes,1
27,Male,United States,WA,No,Yes,Never,500to1000,No,Yes,Yes,No,Yes,Yes,Yes,NA,Yes,No,Some of them,No,No,Yes,NA,No,0
27,Male,United Kingdom,NA,No,No,NA,6to26,No,Yes,No,No,No,No,NA,NA,No,No,Some of them,Some of them,No,No,NA,No,0
32,Male,United States,OR,No,No,Rarely,100to500,No,Yes,Yes,Yes,No,Yes,Yes,NA,Yes,No,No,Yes,No,No,NA,No,1
31,Male,United Kingdom,NA,No,Yes,Sometimes,6to26,No,Yes,No,No,No,No,NA,Somewhat easy,Maybe,Maybe,No,No,No,No,Yes,No,0
19,Male,Slovenia,NA,No,No,Sometimes,6to26,No,Yes,NA,No,No,No,NA,Somewhat easy,Yes,Yes,Some of them,No,No,No,NA,No,1
33,Male,United States,IL,No,Yes,Sometimes,MoreThan1000,No,Yes,Yes,Yes,No,No,NA,Very easy,Maybe,No,Yes,Some of them,No,Yes,No,No,1
32,Male,United States,CA,No,No,Rarely,1to5,Yes,Yes,No,Yes,No,No,NA,Very difficult,Maybe,No,Yes,Some of them,No,Yes,NA,No,0
27,Male,United States,NE,No,No,Never,26to100,No,Yes,NA,Not sure,NA,NA,NA,NA,No,No,Yes,Yes,Maybe,Maybe,NA,No,0
38,Male,Costa Rica,NA,No,No,NA,26to100,Yes,Yes,No,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Yes,No,No,0
24,Male,Canada,NA,No,No,Never,26to100,No,Yes,NA,No,No,No,NA,NA,No,No,Some of them,Yes,Maybe,Yes,NA,No,1
39,Male,United Kingdom,NA,No,No,Never,26to100,No,No,No,No,No,No,NA,NA,Yes,Maybe,No,No,No,No,NA,No,0
28,Male,United Kingdom,NA,No,No,Never,6to26,No,Yes,NA,No,No,No,Yes,Very easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,0
39,Male,United States,IA,No,No,Often,MoreThan1000,No,Yes,Yes,Not sure,No,No,NA,Somewhat easy,No,No,Yes,Yes,No,No,NA,No,1
29,Female,United States,MD,No,No,NA,6to26,No,Yes,NA,No,No,NA,NA,Somewhat easy,Maybe,No,Some of them,No,No,No,NA,No,0
22,Male,Austria,NA,No,No,NA,6to26,Yes,Yes,NA,No,NA,No,NA,Somewhat easy,No,No,Some of them,Some of them,No,No,NA,No,0
38,Male,United States,OR,No,Yes,Sometimes,100to500,No,Yes,NA,No,NA,NA,NA,NA,Maybe,No,Some of them,Yes,No,No,NA,No,1
37,Male,United Kingdom,NA,Yes,No,Sometimes,MoreThan1000,No,No,No,Yes,Yes,Yes,Yes,Very difficult,Yes,Yes,Some of them,No,No,Maybe,Yes,No,1
35,Male,United States,TX,No,No,Never,26to100,Yes,No,NA,Not sure,NA,NA,NA,NA,Yes,No,Some of them,No,No,Maybe,NA,No,0
-29,Male,United States,MN,No,No,NA,MoreThan1000,Yes,No,Yes,No,NA,Yes,NA,NA,No,No,Some of them,Yes,No,No,NA,No,0
30,Female,United States,PA,No,Yes,NA,MoreThan1000,Yes,Yes,NA,Not sure,No,NA,NA,NA,Maybe,Maybe,Some of them,Some of them,No,Maybe,NA,No,0
37,Male,United States,IN,No,Yes,Rarely,100to500,No,No,Yes,Yes,Yes,Yes,NA,Somewhat easy,Maybe,Maybe,Some of them,Yes,Maybe,Maybe,NA,No,1
24,Male,United Kingdom,NA,No,No,Never,6to26,No,Yes,No,No,No,No,Yes,NA,Maybe,Maybe,No,Some of them,No,No,NA,No,0
23,Male,United States,WV,No,No,Sometimes,6to26,No,No,No,No,No,No,No,Somewhat easy,Yes,Yes,No,No,No,No,No,No,0
30,Male,Ireland,NA,No,No,Rarely,100to500,No,Yes,No,Yes,Yes,Yes,NA,Somewhat easy,Yes,No,Some of them,No,No,No,No,Yes,1
29,Female,United States,MI,No,No,NA,100to500,Yes,Yes,NA,Not sure,No,NA,NA,NA,Maybe,No,No,Some of them,No,Maybe,NA,No,0
19,Male,Canada,NA,Yes,Yes,NA,1to5,Yes,Yes,NA,Not sure,No,Yes,Yes,Somewhat easy,Maybe,No,Some of them,Some of them,Maybe,Maybe,NA,No,0
32,Male,United States,CA,No,Yes,Never,26to100,No,Yes,NA,Not sure,No,No,NA,Very easy,No,No,Some of them,Some of them,No,Maybe,No,No,0
28,Male,Poland,NA,No,No,Rarely,6to26,Yes,Yes,No,No,No,No,NA,NA,No,No,Yes,Yes,Maybe,Yes,Yes,No,0
36,Male,United States,IL,No,No,Never,6to26,No,Yes,NA,Not sure,NA,NA,NA,NA,No,No,Some of them,Some of them,Maybe,Maybe,NA,No,0
37,Male,United Kingdom,NA,No,Yes,Rarely,MoreThan1000,No,No,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,Yes,Maybe,Some of them,No,No,Yes,No,Yes,1
25,Male,United States,IL,No,Yes,Sometimes,26to100,No,No,NA,No,No,NA,NA,Somewhat difficult,Maybe,No,Some of them,Some of them,No,Maybe,No,No,1
27,Male,United States,CA,No,Yes,Sometimes,MoreThan1000,No,Yes,NA,No,No,NA,NA,NA,No,No,No,Some of them,No,Maybe,NA,No,1
26,Male,United States,OK,No,No,Often,26to100,No,No,NA,Not sure,No,No,NA,NA,Yes,Maybe,Some of them,Yes,No,Maybe,No,No,0
27,Male,United States,UT,No,No,Rarely,26to100,Yes,Yes,No,Yes,No,No,NA,Somewhat difficult,Maybe,No,Some of them,Yes,No,No,NA,Yes,1
25,Male,United States,IL,No,Yes,Sometimes,26to100,No,Yes,NA,Not sure,No,No,NA,Very easy,Maybe,No,Some of them,No,No,No,NA,Yes,1
36,Male,United Kingdom,NA,No,No,Sometimes,MoreThan1000,No,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,Maybe,NA,Yes,1
25,Female,United States,NY,No,Yes,Sometimes,500to1000,No,Yes,Yes,No,No,No,NA,NA,Yes,Yes,Some of them,Some of them,No,No,NA,No,1
31,Male,United States,CA,No,No,Never,MoreThan1000,No,Yes,Yes,No,No,Yes,NA,NA,No,No,Some of them,Some of them,No,No,NA,No,0
26,Male,United States,MA,No,Yes,Rarely,6to26,No,Yes,NA,No,No,No,NA,NA,Maybe,No,Some of them,Yes,No,No,NA,No,0
33,Female,United States,WA,Yes,Yes,Sometimes,1to5,No,Yes,No,Yes,Yes,Yes,Yes,Very difficult,No,No,Some of them,Yes,No,Yes,Yes,No,1
27,Female,United Kingdom,NA,Yes,Yes,NA,1to5,Yes,Yes,No,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,No,Maybe,Yes,No,0
34,Male,United States,MN,No,No,Never,26to100,No,Yes,No,No,No,No,NA,Very easy,Maybe,No,Some of them,Some of them,No,Maybe,NA,No,0
42,Male,United States,CA,No,No,NA,6to26,No,Yes,No,Yes,No,No,NA,Very difficult,Maybe,No,Yes,Yes,No,Maybe,No,No,0
23,Male,Ireland,NA,Yes,Yes,Sometimes,1to5,No,Yes,No,No,No,No,NA,Very difficult,Yes,No,No,No,No,Maybe,No,No,0
24,Male,United Kingdom,NA,No,No,Rarely,100to500,No,Yes,NA,Not sure,Yes,NA,NA,Very easy,Maybe,Maybe,Some of them,Some of them,No,Maybe,NA,No,0
26,Male,United Kingdom,NA,No,No,Sometimes,MoreThan1000,No,Yes,Yes,Yes,NA,NA,Yes,Somewhat easy,No,No,Yes,Yes,No,No,NA,No,1
31,Male,United Kingdom,NA,Yes,No,Often,6to26,No,Yes,NA,No,No,No,NA,NA,Maybe,No,Some of them,Yes,No,Maybe,NA,No,1
